id,learner_id,entry_order,kind,module_ref,module_title,week_ref,week_title,component_ref,component_title,component_type,quiz_ref,attempt,grade,achieved_score,total_score,passed,feedback,reported_time,started_at,submitted_at,time_taken,feed_kind,feed_action,feed_title,feed_detail,feed_occurred_at,plan_component_id,programme_ref,programme_title,cohort_ref,cohort_title,group_ref,group_title,expected_otjh,points
1,4,1,quiz,,,,,,,,64,1,0.1000,2.00,20.00,False,"n,,n",60 minutes,2026-07-15 12:52:01.320000+00:00,2026-07-15 12:52:25.495858+00:00,00:17,,,,,,,,,,,,,,
2,4,2,quiz,,,,,,,,67,1,0.1000,2.00,20.00,False,tttttt,60 minutes,2026-07-18 08:04:17.367000+00:00,2026-07-18 08:04:29.591546+00:00,00:04,,,,,,,,,,,,,,
3,4,3,video,,,,,COMP-202607090937403244250234,,,,1,,,,,9,120,2026-07-18 08:05:20.234000+00:00,2026-07-18 08:05:37.417861+00:00,00:00,,,,,,3,,,,,,,,
8,1,1,live_session,MOD-202607090937403232500009,APM,WEEK-202607090937403235350057,Session2 Name Test,COMP-202607090937403244670243,Live session · Session2 Name Test,,,,,,,,,,,,,,,,,,551,,,,,,,,
9,1,2,live_session,MOD-202607090937403232500009,APM,WEEK-202607090937403235310056,Session1 Name Test,COMP-202607090937403244620242,Live session · Session1 Name Test,,,,,,,,,,,,,,,,,,552,,,,,,,,
10,5,1,video,,,,,COMP-202607090937403244250234,,,,1,,,,,,25,2026-07-14 13:40:02.950000+00:00,2026-07-14 13:40:21.382984+00:00,20:54,,,,,,,,,,,,,,
11,5,2,quiz,,,,,,,,64,1,0.1000,2.00,20.00,False,,35,2026-07-14 13:40:35.299000+00:00,2026-07-14 13:40:51.580631+00:00,00:04,,,,,,,,,,,,,,
30,2,1,quiz,,,,,,,,64,1,0.0000,0.00,20.00,False,,60 minutes,2026-07-19 11:24:20.976000+00:00,2026-07-19 11:25:05.519352+00:00,00:22,,,,,,,,,,,,,,
31,2,2,component,,,,,COMP-202607090937403244300235,,podcast,,1,,,,,,120 min,2026-07-20 09:10:04.985000+00:00,2026-07-20 09:19:58.490783+00:00,00:01,,,,,,,,,,,,,,
32,2,3,video,,,,,COMP-20260721161357553722,,,,1,,,,,,2h,2026-07-25 08:14:16.727000+00:00,2026-07-25 08:14:24.832321+00:00,00:00,,,,,,,,,,,,,,
33,2,4,component,,,,,COMP-202607250901108741FK2TV,,assignment,,1,,,,,,2h,2026-07-25 09:31:42.509000+00:00,2026-07-25 09:32:02.018049+00:00,00:14,,,,,,,,,,,,,,
34,2,5,component,,,,,COMP-20260721161358049897,,podcast,,1,,,,,,2h,2026-07-25 12:47:17.294000+00:00,2026-07-25 12:47:23.741883+00:00,00:02,,,,,,,,,,,,,,
38,2,6,video,,,,,COMP-20260721161357553722,,,,2,,,,,"Today I learned how to identify the main goals of a project and organise the work into clear steps. I also learned that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.
early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.",2,2026-07-26 20:33:31.058000+00:00,2026-07-26 21:51:59.551281+00:00,00:00,,,,,,,,,,,,,,
39,2,7,video,,,,,COMP-20260721161357553722,,,,3,,,,,"Today I learned how to identify the main goals of a project and organise the work into clear steps. I also learned that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.
early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.",2,2026-07-27 08:14:00.319000+00:00,2026-07-27 08:17:52.760207+00:00,00:00,,,,,,,,,,,,,,
40,2,8,video,,,,,COMP-20260721161357553722,,,,4,,,,,"Today, I learned how to identify the main goal of a project and organise the work into clear steps. I also discovered that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early on. The video explained how communication and regular progress checks can improve the final outcome. I would like to receive more support in applying these planning techniques to a real project in my workplace.
risks early on. The video explained how communication and regular progress checks can improve the final outcome. I would like to receive more support in applying these planning techniques to a real project in my workplace.",2,2026-07-27 08:24:55.176000+00:00,2026-07-27 08:27:59.131416+00:00,00:00,,,,,,,,,,,,,,
41,2,9,video,,,,,COMP-20260721161357553722,,,,5,,,,,"Today, I learned how to identify the main goals of a project and organise the work into clear steps. I also learned that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.
early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.",2,2026-07-27 08:35:36.185000+00:00,2026-07-27 08:38:30.908264+00:00,00:00,,,,,,,,,,,,,,
42,2,10,video,,,,,COMP-20260721161357553722,,,,6,,,,,"Today I learned how to identify the main goals of a project and organise the work into clear steps. I also learned that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.
early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.",2,2026-07-27 08:45:56.821000+00:00,2026-07-27 08:47:37.880328+00:00,00:00,,,,,,,,,,,,,,
43,2,11,video,,,,,COMP-20260721161357553722,,,,7,,,,,"Today I learned how to identify the main goals of a project and organise the work into clear steps. I also learned that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.
early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.",2,2026-07-27 08:48:29.896000+00:00,2026-07-27 08:49:44.289984+00:00,00:00,,,,,,,,,,,,,,
44,2,12,video,,,,,COMP-20260721161357553722,,,,8,,,,,"Today I learned how to identify the main goals of a project and organise the work into clear steps. I also learned that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.
early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.",2,2026-07-27 09:52:35.632000+00:00,2026-07-27 09:53:48.688781+00:00,00:00,,,,,,,,,,,,,,
45,2,13,video,,,,,COMP-20260721161357553722,,,,9,,,,,"Today I learned how to identify the main goals of a project and organise the work into clear steps. I also learned that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.

early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.",2,2026-07-27 11:28:20.335000+00:00,2026-07-27 11:29:52.364535+00:00,00:00,,,,,,,,,,,,,,
46,2,14,video,,,,,COMP-20260721161357553722,,,,10,,,,,"Today I learned how to identify the main goals of a project and organise the work into clear steps. I also learned that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.

early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.",2,2026-07-27 13:22:57.509000+00:00,2026-07-27 13:24:01.154163+00:00,00:00,,,,,,,,,,,,,,
47,2,15,video,,,,,COMP-20260721161357553722,,,,11,,,,,"Today I learned how to identify the main goals of a project and organise the work into clear steps. I also learned that good planning helps the team understand their responsibilities, manage time effectively, and identify possible risks early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.

early. The video explained how communication and regular progress checks can improve the final outcome. I would like more support with applying these planning techniques to a real project in my workplace.",2,2026-07-27 14:18:02.610000+00:00,2026-07-27 14:19:23.552389+00:00,00:00,,,,,,,,,,,,,,
48,2,16,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-14 13:26:52.276721+00:00,,video,Watched video,Pre-recorded video,83,2026-07-14 13:26:52.276721+00:00,,,,,,,,,
49,2,17,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,,Social Media Marketing Part1 Organic vs Paid Q1 20,,64,,,,,False,,,,2026-07-14 13:27:14.433936+00:00,,quiz,Completed quiz,Social Media Marketing Part1 Organic vs Paid Q1 20,Scored 10% · 2/20,2026-07-14 13:27:14.433936+00:00,,,,,,,,,
50,2,18,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-14 13:40:21.382984+00:00,,video,Watched video,Pre-recorded video,25,2026-07-14 13:40:21.382984+00:00,,,,,,,,,
51,2,19,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,,Social Media Marketing Part1 Organic vs Paid Q1 20,,64,,,,,False,,,,2026-07-14 13:40:51.580631+00:00,,quiz,Completed quiz,Social Media Marketing Part1 Organic vs Paid Q1 20,Scored 10% · 2/20,2026-07-14 13:40:51.580631+00:00,,,,,,,,,
52,2,20,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-15 07:55:38.918400+00:00,,video,Watched video,Pre-recorded video,75,2026-07-15 07:55:38.918400+00:00,,,,,,,,,
53,2,21,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,,Social Media Marketing Part1 Organic vs Paid Q1 20,,64,,,,,False,,,,2026-07-15 10:26:50.659224+00:00,,quiz,Completed quiz,Social Media Marketing Part1 Organic vs Paid Q1 20,Scored 10% · 2/20,2026-07-15 10:26:50.659224+00:00,,,,,,,,,
54,2,22,activity_event,,Fouda-Module,,Week1 Name will be here ==> Has modified data in components,COMP-202607090937403244250234,Pre-recorded video,,,,,,,,,,,2026-07-15 11:48:39.209183+00:00,,video,Watched video,Pre-recorded video,23:16,2026-07-15 11:48:39.209183+00:00,,,,,,,,,
