id,aptem_id,month,category,title,source_ref,reason
166237,4176,2026-03,reading+quiz,Q1 - Define Scope,la:80609:76631,Material 76631: original questions available but no saved learner answers
166238,4176,2026-03,reading+quiz,Q1-Define Scope,la:80609:120766,Material 120766: original questions available but no saved learner answers
159468,7999,2026-07,reading+quiz,Q3: Compliance Spotlight: The CAP Checklist for Social Media Promotions Material,la:125589:133062,Material 133062: original questions available but no saved learner answers
166242,3535,2025-12,reading+quiz,Q1: Internal Resources &amp; VRIO,la:80619:96539,Material 96539: original questions available but no saved learner answers
166243,3535,2025-12,reading+quiz,Q2: Aligning Capabilities &amp; Strategy,la:80619:96541,Material 96541: original questions available but no saved learner answers
166244,3535,2025-12,reading+quiz,Q3:Corporate Goals &amp; Marketing,la:80619:96543,Material 96543: original questions available but no saved learner answers
166245,3535,2025-12,reading+quiz,Q4: Managing Marketing Risk,la:80619:96547,Material 96547: original questions available but no saved learner answers
166246,3535,2025-12,reading+quiz,Q1: Introduction,la:80619:98791,Material 98791: original questions available but no saved learner answers
166247,3535,2025-12,reading+quiz,Q2:Factors Influencing Buyer,la:80619:98842,Material 98842: original questions available but no saved learner answers
166248,3535,2025-12,reading+quiz,Q3: The Consumer Decision Making,la:80619:98862,Material 98862: original questions available but no saved learner answers
166249,3535,2025-12,reading+quiz,Q1: B2B vs. B2C Customer Behaviour,la:80619:100909,Material 100909: original questions available but no saved learner answers
797,16001,2026-06,assignment,M.MI&P 1: Marketing Strategy and Planning - Assignment,,No active linked or referenced evidence document/reflection
166250,3535,2025-12,reading+quiz,Q2:Relationship Marketing and Customer Loyalty,la:80619:100910,Material 100910: original questions available but no saved learner answers
162823,9862,2026-02,reading+quiz,Q2-What is Project?,la:115249:50939,Material 50939: original questions available but no saved learner answers
162824,9862,2026-02,reading+quiz,Q3-PMI Code of Ethics and  Professional Conduct,la:115249:50963,Material 50963: original questions available but no saved learner answers
162825,9862,2026-02,reading+quiz,"Differences between Project, Program, and Portfolio Management",la:115249:50976,Material 50976: original questions available but no saved learner answers
171255,9862,2026-05,reading+quiz,Q1-Monitor and Control Schedule - Foundation to Intermediate,la:115249:125859,Material 125859: original questions available but no saved learner answers
155409,10083,2026-06,reading+quiz,Q1 -Distribution Channels &amp; The Role of Place in Marketing,la:109515:113694,Material 113694: original questions available but no saved learner answers
171256,3534,2025-11,reading+quiz,Q1: Stakeholder Engagement Overview,la:65983:74534,Material 74534: original questions available but no saved learner answers
171102,4316,2025-12,reading+quiz,Q1-2: Porter's Generic Strategies,la:80624:96663,Material 96663: original questions available but no saved learner answers
159482,4907,2026-07,reading+quiz,Session1- Q1-EVM purpose,la:136482:139705,Material 139705: original questions available but no saved learner answers
159483,4907,2026-07,reading+quiz,"Session1-Q2-EVM purpose, professional context and why budget-versus-actual is not enough",la:136482:139742,Material 139742: original questions available but no saved learner answers
159484,4907,2026-07,reading+quiz,"Session1-Q3-EVM purpose, professional context and why budget-versus-actual is not enough",la:136482:139760,Material 139760: original questions available but no saved learner answers
159485,4907,2026-07,reading+quiz,Quiz 1 : EVMS Foundations and Mandate,la:136482:141601,Material 141601: original questions available but no saved learner answers
159486,4907,2026-07,reading+quiz,"Quiz 2: Readiness, Maturity and Change",la:136482:141617,Material 141617: original questions available but no saved learner answers
159487,4907,2026-07,reading+quiz,Quiz 3 : Communication and Readiness Workshop,la:136482:141633,Material 141633: original questions available but no saved learner answers
171264,3534,2025-11,reading+quiz,Q2 - Define Scope Process,la:65983:76645,Material 76645: original questions available but no saved learner answers
166251,3535,2026-01,reading+quiz,Q1-The Marketing Information System (MIS).,la:80619:79448,Material 79448: original questions available but no saved learner answers
166252,3535,2026-01,reading+quiz,Q2-The Marketing Research Process.,la:80619:79459,Material 79459: original questions available but no saved learner answers
166253,3535,2026-01,reading+quiz,Q3-Turning Data into Insight.,la:80619:79470,Material 79470: original questions available but no saved learner answers
166254,3535,2026-01,reading+quiz,Q4- Evaluating Campaign Performance.,la:80619:79482,Material 79482: original questions available but no saved learner answers
166255,3535,2026-01,reading+quiz,Q1: Introduction: Why Primary Data?,la:80619:110976,Material 110976: original questions available but no saved learner answers
166256,3535,2026-01,reading+quiz,Q2: Focus Groups (Qualitative),la:80619:111001,Material 111001: original questions available but no saved learner answers
171257,3534,2025-11,reading+quiz,Q2: Stakeholder Engagement Identify,la:65983:74547,Material 74547: original questions available but no saved learner answers
153141,3487,2026-03,reading+quiz,Quiz 1 - plan scope management deep dive,la:80609:119710,Material 119710: original questions available but no saved learner answers
153142,3487,2026-03,reading+quiz,Quiz 2: plan scope management - deep dive,la:80609:119739,Material 119739: original questions available but no saved learner answers
166257,3535,2026-01,reading+quiz,Q3: Other Primary Data Collection Methods,la:80619:111018,Material 111018: original questions available but no saved learner answers
166258,3535,2026-01,reading+quiz,Q4: Ensuring Quality and Ethical Primary Research,la:80619:111035,Material 111035: original questions available but no saved learner answers
166259,3535,2026-01,reading+quiz,Q1-Introduction - What is Secondary Data?,la:80619:113374,Material 113374: original questions available but no saved learner answers
166260,3535,2026-01,reading+quiz,Q2-Advantages &amp; Limitations of Secondary Data,la:80619:113395,Material 113395: original questions available but no saved learner answers
171258,3534,2025-11,reading+quiz,Q3: Stakeholder Engagement Anaylsis,la:65983:74558,Material 74558: original questions available but no saved learner answers
171259,3534,2025-11,reading+quiz,Q1: Scope Management,la:65983:75443,Material 75443: original questions available but no saved learner answers
166261,3535,2026-01,reading+quiz,Q3-The Role of Secondary Data,la:80619:113413,Material 113413: original questions available but no saved learner answers
166262,3535,2026-01,reading+quiz,Q1- Mastering Marketing Impact &amp; The 7Ps,la:80619:114705,Material 114705: original questions available but no saved learner answers
166263,3535,2026-01,reading+quiz,Q2- Mastering Promotion and People,la:80619:114706,Material 114706: original questions available but no saved learner answers
171260,3534,2025-11,reading+quiz,Q2: Scope Planning,la:65983:75456,Material 75456: original questions available but no saved learner answers
171261,3534,2025-11,reading+quiz,Q1: Plan Scope Management,la:65983:75469,Material 75469: original questions available but no saved learner answers
166264,3535,2026-01,reading+quiz,Q3- Marketing Impact &amp; Strategy The Final Puzzle Pieces,la:80619:114707,Material 114707: original questions available but no saved learner answers
171263,3534,2025-11,reading+quiz,Q1 - Define Scope,la:65983:76631,Material 76631: original questions available but no saved learner answers
171265,3534,2025-11,reading+quiz,Q3 - Create WBS,la:65983:76718,Material 76718: original questions available but no saved learner answers
171266,3534,2025-11,reading+quiz,Q2 - Control Scope,la:65983:77806,Material 77806: original questions available but no saved learner answers
171267,3534,2025-11,reading+quiz,Q3. PMP Practice Question,la:65983:77708,Material 77708: original questions available but no saved learner answers
166265,3535,2026-02,reading+quiz,Q1-The Secret Life of Products,la:80619:115844,Material 115844: original questions available but no saved learner answers
166266,3535,2026-02,reading+quiz,Q2-Strategy From Birth to Branding,la:80619:115845,Material 115845: original questions available but no saved learner answers
166267,3535,2026-02,reading+quiz,Q3-Strategy Unwrapping the secrets of successful products,la:80619:115846,Material 115846: original questions available but no saved learner answers
166268,3535,2026-02,reading+quiz,Q1-Introduction-Common Pricing Objectives,la:80619:117254,Material 117254: original questions available but no saved learner answers
166269,3535,2026-02,reading+quiz,Q2-The Psychology of Pricing and Consumer Behaviour,la:80619:117255,Material 117255: original questions available but no saved learner answers
166270,3535,2026-02,reading+quiz,Q3-Price Elasticity of Demand,la:80619:117256,Material 117256: original questions available but no saved learner answers
166271,3535,2026-02,reading+quiz,Q1: What is Promotion,la:80619:118219,Material 118219: original questions available but no saved learner answers
171243,4841,2026-01,reading+quiz,Q1-Tactical &amp; Supporting Plans​,la:80621:110175,Material 110175: original questions available but no saved learner answers
171239,4841,2026-01,reading+quiz,Q1-What is Marketing Plan?,la:80621:108099,Material 108099: original questions available but no saved learner answers
171244,4841,2026-01,reading+quiz,Q2-Tactical Delivery Across Channels,la:80621:110223,Material 110223: original questions available but no saved learner answers
171247,4841,2026-01,reading+quiz,Q1-What Is Resource Planning?,la:80621:112234,Material 112234: original questions available but no saved learner answers
171248,4841,2026-01,reading+quiz,Q2-People &amp; Capability Planning,la:80621:112251,Material 112251: original questions available but no saved learner answers
177566,1763,2025-05,reading+quiz,"Q1-Safeguarding, and British Values + Quiz Chapter 1 + Chapter 1: Project Management/Control KSBs, Knowledge Areas, Domains, and Competences (ChPP)",rq:60702:55024:61139:60726,Material 55024: original questions available but no saved learner answers
177568,1763,2025-05,reading+quiz,Q2-What is Project? + Additional Reading: What is Project?,rq:60702:50939:61142,Material 50939: original questions available but no saved learner answers
166272,3535,2026-02,reading+quiz,Q2: What is Public Relations,la:80619:118220,Material 118220: original questions available but no saved learner answers
166273,3535,2026-02,reading+quiz,Q3: Ethical and Legal Considerations in Promotional Activities,la:80619:118221,Material 118221: original questions available but no saved learner answers
2628,964,2025-09,video,P3-Strategic Implications for Marketing Strategy and Competitive Positioning.,la:60591:76973,Material 76973: source content unavailable (login_or_home_redirect)
130762,4316,2025-12,assignment,Month 2 : Insights from Marketing Audits - LMS Activity,asg:33863,No active linked or referenced evidence document/reflection
159568,1332,2025-05,reading+quiz,P1-Quiz-Introduction,la:60591:62316,Material 62316: original questions available but no saved learner answers
159569,1332,2025-05,reading+quiz,Quiz-P2-Mapping Learning and KSB,la:60591:62338,Material 62338: original questions available but no saved learner answers
171274,3534,2025-12,reading+quiz,Q1: Cost Management Process,la:65983:81005,Material 81005: original questions available but no saved learner answers
171276,4316,2026-01,reading+quiz,Q1-What is Marketing Plan?,la:80624:108099,Material 108099: original questions available but no saved learner answers
171277,4316,2026-01,reading+quiz,Q2-Building the Marketing Plan Structure ​,la:80624:108133,Material 108133: original questions available but no saved learner answers
171268,3534,2025-12,reading+quiz,Q1 - Project Schedule Management,la:65983:79270,Material 79270: original questions available but no saved learner answers
171269,3534,2025-12,reading+quiz,Q2 - Plan Schedule Management and Define Activities,la:65983:79291,Material 79291: original questions available but no saved learner answers
3475,92,2024-11,reading+quiz,Business Environment Live Session,la:50559:51072,Material 51072: source content unavailable (http_error)
171270,3534,2025-12,reading+quiz,"Q3 - Project Scheduling: Sequence, Estimate, Develop, and Control",la:65983:79314,Material 79314: original questions available but no saved learner answers
171271,3534,2025-12,reading+quiz,"Q1: Critical Path, Float &amp; Scheduling Concepts",la:65983:80205,Material 80205: original questions available but no saved learner answers
